Date,Close,signals,close_position
12/1/2003,1.196501,long,
12/2/2003,1.208897,,
12/3/2003,1.212298,,1
12/4/2003,1.208094,long,
12/5/2003,1.218695,,
12/8/2003,1.222001,,
12/9/2003,1.224995,,1
12/10/2003,1.219096,long,
12/11/2003,1.222404,,
12/12/2003,1.227898,,
12/15/2003,1.231997,,
12/16/2003,1.232195,,
12/17/2003,1.240202,,
12/18/2003,1.242298,,
12/19/2003,1.238497,,
12/22/2003,1.239895,,
12/23/2003,1.240003,,
12/24/2003,1.245299,,
12/25/2003,1.244803,,
12/26/2003,1.243194,,
12/29/2003,1.248393,,
12/30/2003,1.254894,,
12/31/2003,1.259002,,
1/1/2004,1.258194,,
1/2/2004,1.258194,,
1/5/2004,1.268698,,
1/6/2004,1.272103,,1
1/7/2004,1.264095,long,
1/8/2004,1.277498,,
1/9/2004,1.285892,short,1
1/12/2004,1.274096,,
1/13/2004,1.278593,,
1/14/2004,1.265102,,
1/15/2004,1.260097,,
1/16/2004,1.239803,,
1/19/2004,1.235407,long,1
1/20/2004,1.258907,,
1/21/2004,1.265903,,
1/22/2004,1.272508,short,1
1/23/2004,1.258305,,
1/26/2004,1.248798,,1
1/27/2004,1.263695,short,
1/28/2004,1.244199,,
1/29/2004,1.241003,,1
1/30/2004,1.246805,,
2/2/2004,1.243302,long,
2/3/2004,1.253494,,
2/4/2004,1.253997,,
2/5/2004,1.257197,,
2/6/2004,1.270002,,1
2/9/2004,1.269406,,
2/10/2004,1.268504,long,
2/11/2004,1.283005,,1
2/12/2004,1.281805,,
2/13/2004,1.272799,long,
2/16/2004,1.276503,,
2/17/2004,1.285793,short,1
2/18/2004,1.272508,,1
2/19/2004,1.275705,short,
2/20/2004,1.254202,,1
2/23/2004,1.257197,,
2/24/2004,1.267797,short,
2/25/2004,1.249703,,
2/26/2004,1.244803,,1
2/27/2004,1.249407,short,
3/1/2004,1.244803,,
3/2/2004,1.220405,,
3/3/2004,1.219096,,1
3/4/2004,1.220703,long,
3/5/2004,1.236797,,
3/8/2004,1.242607,short,1
3/9/2004,1.231906,,
3/10/2004,1.223197,,1
3/11/2004,1.235102,,
3/12/2004,1.222404,,
3/15/2004,1.227205,,
3/16/2004,1.226106,,
3/17/2004,1.222703,long,
3/18/2004,1.238896,,1
3/19/2004,1.226904,,
3/22/2004,1.234598,,
3/23/2004,1.234507,short,
3/24/2004,1.213902,,
3/25/2004,1.213695,,1
3/26/2004,1.212695,long,
3/29/2004,1.216604,,
3/30/2004,1.218502,,
3/31/2004,1.2313,,
4/1/2004,1.236507,short,1
4/2/2004,1.2129,,
4/5/2004,1.201302,long,1
4/6/2004,1.213106,,
4/7/2004,1.216604,short,1
4/8/2004,1.2077,,
4/9/2004,1.208605,,
4/12/2004,1.207307,,
4/13/2004,1.193802,,1
4/14/2004,1.1947,,
4/15/2004,1.198696,,
4/16/2004,1.200293,,
4/19/2004,1.200696,,
4/20/2004,1.184806,,
4/21/2004,1.181,,
4/22/2004,1.192506,,
4/23/2004,1.185003,,
4/26/2004,1.186197,,
4/27/2004,1.192905,,
4/28/2004,1.184301,long,
4/29/2004,1.196001,,
4/30/2004,1.198294,,
5/3/2004,1.193602,,
5/4/2004,1.210507,,
5/5/2004,1.215894,short,1
5/6/2004,1.2077,,
5/7/2004,1.188001,,
5/10/2004,1.184596,,1
5/11/2004,1.188199,,
5/12/2004,1.190505,short,
5/13/2004,1.180401,long,1
5/14/2004,1.188199,,
5/17/2004,1.202501,,1
5/18/2004,1.194501,,
5/19/2004,1.200394,,
5/20/2004,1.1957,,
5/21/2004,1.202805,,
5/24/2004,1.199904,long,
5/25/2004,1.210097,,
5/26/2004,1.211094,,
5/27/2004,1.227596,,1
5/28/2004,1.221807,,
5/31/2004,1.219899,,
6/1/2004,1.2245,,
6/2/2004,1.221896,,
6/3/2004,1.222105,,
6/4/2004,1.227506,,
6/7/2004,1.2318,short,
6/8/2004,1.226106,,
6/9/2004,1.204297,,1
6/10/2004,1.210903,,
6/11/2004,1.201504,long,
6/14/2004,1.2062,,
6/15/2004,1.216604,short,1
6/16/2004,1.200696,long,1
6/17/2004,1.203398,,
6/18/2004,1.214506,,1
6/21/2004,1.212606,,
6/22/2004,1.212195,,
6/23/2004,1.208605,long,
6/24/2004,1.217404,,
6/25/2004,1.220301,,1
6/28/2004,1.218695,,
6/29/2004,1.209804,long,
6/30/2004,1.218398,,
7/1/2004,1.216205,,
7/2/2004,1.231103,,1
7/5/2004,1.229997,,
7/6/2004,1.228501,long,
7/7/2004,1.237103,,
7/8/2004,1.239495,,
7/9/2004,1.241897,,1
7/12/2004,1.240803,,
7/13/2004,1.233304,,
7/14/2004,1.238497,,
7/15/2004,1.235605,,
7/16/2004,1.245594,short,
7/19/2004,1.243998,,
7/20/2004,1.233395,,
7/21/2004,1.226302,,
7/22/2004,1.225595,,
7/23/2004,1.209599,,
7/26/2004,1.213902,,
7/27/2004,1.206404,,
7/28/2004,1.204398,,
7/29/2004,1.203804,,
7/30/2004,1.201605,,1
8/2/2004,1.202198,long,
8/3/2004,1.205298,,
8/4/2004,1.205996,,
8/5/2004,1.205197,,
8/6/2004,1.2308,,1
8/9/2004,1.227295,,
8/10/2004,1.223601,,
8/11/2004,1.222195,long,
8/12/2004,1.2239,,
8/13/2004,1.237593,,1
8/16/2004,1.235895,,
