model_type,trial_id,val_loss,val_accuracy,accuracy,num_LSTM_layers,units_first,activation,kernel_initializer,forget_bias,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
buy_trials_LSTM,00,1052.9376220703125,0.9948437213897705,0.9898046851158142,2,32,tanh,glorot_normal,True,0.30000000000000004,0.35000000000000003,1,64,zeros,0.5,0.001715074355925934,3.0,0.1
buy_trials_LSTM,01,3614.726318359375,0.9948437213897705,0.7271093726158142,3,32,tanh,glorot_normal,False,0.30000000000000004,0.45,1,64,glorot_normal,0.1,0.00014111965749931114,2.5,0.7000000000000001
buy_trials_LSTM,02,10766.6376953125,0.9948437213897705,0.9482812285423279,3,64,relu,glorot_normal,True,0.30000000000000004,0.30000000000000004,2,128,zeros,0.2,0.0010277342442932575,1.0,0.5
buy_trials_LSTM,03,170.72825622558594,0.9948437213897705,0.9946484565734863,3,32,gelu,glorot_normal,False,0.2,0.25,1,64,he_normal,0.30000000000000004,0.0033137745378583987,1.5,0.2
buy_trials_LSTM,06,2955.890869140625,0.9943749904632568,0.6780859231948853,2,32,gelu,he_normal,True,0.25,0.30000000000000004,1,64,he_normal,0.30000000000000004,0.0001395510628578222,1.0,0.1
buy_trials_LSTM,07,2701.011474609375,0.9948437213897705,0.9610156416893005,3,96,tanh,he_normal,False,0.45,0.2,2,64,zeros,0.5,0.0025890919266874407,3.0,0.9
buy_trials_LSTM,08,7174.75146484375,0.3653906285762787,0.44707030057907104,1,96,tanh,he_normal,True,0.30000000000000004,0.2,2,32,glorot_normal,0.1,0.00010805627988186071,1.0,0.30000000000000004
buy_trials_LSTM,09,201.55734252929688,0.9948437213897705,0.9942968487739563,3,64,gelu,he_normal,False,0.25,0.4,1,32,he_normal,0.5,0.006353350532750873,1.0,0.6
buy_trials_LSTM,10,3560.768798828125,0.005546874832361937,0.09753905981779099,2,32,relu,he_normal,False,0.30000000000000004,0.4,1,32,he_normal,0.2,0.0013291852527485804,3.0,0.6
buy_trials_LSTM,11,12024.458984375,0.6728125214576721,0.4055859446525574,2,96,relu,glorot_normal,False,0.2,0.4,1,64,glorot_normal,0.1,0.001027905840968144,1.5,0.6
buy_trials_LSTM,12,7505.94482421875,0.9948437213897705,0.806640625,2,96,tanh,glorot_normal,True,0.2,0.45,2,64,he_normal,0.4,0.00030969640670569564,2.5,0.30000000000000004
buy_trials_LSTM,13,5045.29150390625,0.05218749865889549,0.26906248927116394,1,96,tanh,glorot_normal,True,0.35000000000000003,0.4,2,64,he_normal,0.2,0.0004938970115853091,2.5,0.6
